// Unused singles
CS (88, 924) (212, 0) - 1 5 20 2 2 2 20 4 22 4 18 2 4 2 18 4 22 4 20 2 2 2 20 5 1 29 6 33 1 6 1 23 4 20 4 20 2 2 2 20 4 20 4 24 5 1 33 6 29 1 6 1 27 4 14 2 8 2 14 4 27 1 6 1 29 6 33 1 5 24 4 20 4 20 2 2 2 20 4 20 4 23 1 6 1 33 6 29
CS (76, 976) (216, 0) - 1 5 22 4 20 4 22 4 20 4 22 4 20 4 20 4 24 5 1 32 1 5 24 4 20 4 20 4 22 4 20 4 22 4 20 4 22 5 1 29 4 14 4 28 6 34 6 28 5 1 34 1 5 26 4 16 4 26 4 16 4 26 5 1 34 1 5 28 6 34 6 28 4 14 4 29
CS (84, 940) (216, 0) - 1 5 26 4 16 4 26 4 14 2 8 2 14 2 6 2 16 4 24 4 18 4 24 4 18 4 24 4 16 2 6 2 14 2 8 2 14 4 26 4 16 4 26 5 1 33 6 30 4 10 2 14 4 26 4 16 4 26 4 16 4 26 5 1 34 1 5 26 4 16 4 26 4 16 4 26 4 14 2 10 4 30 6 33
CS (76, 1060) (220, 0) - 1 5 26 4 16 4 26 5 1 33 6 30 6 32 6 30 4 12 4 30 4 12 4 30 6 32 6 30 6 33 1 5 26 4 16 4 26 5 1 34 1 5 27 1 6 1 29 6 34 6 28 6 35 1 5 28 4 14 4 28 5 1 35 6 28 6 34 6 29 1 6 1 27 5 1 34
CS (80, 940) (222, 0) - 1 5 26 4 16 4 26 4 14 2 10 4 30 4 10 2 14 4 26 4 16 4 26 4 14 2 10 4 30 4 10 2 14 4 26 4 16 4 26 5 1 33 6 30 4 10 2 14 4 26 4 16 4 26 4 16 4 26 5 1 34 1 5 26 4 16 4 26 4 16 4 26 4 14 2 10 4 30 6 33
CS (72, 892) (224, 0) - 1 5 22 4 18 2 6 2 14 4 28 6 34 6 29 1 5 22 5 1 29 6 34 6 28 4 14 2 6 2 18 4 22 5 1 29 6 34 6 29 1 6 1 27 5 1 34 1 5 26 4 16 4 26 4 16 4 26 5 1 34 1 5 27 1 6 1 29 6 34 6 29
CS (108, 1292) (228, 0) - 1 5 20 4 24 5 1 32 1 5 24 4 18 4 25 1 6 1 31 6 31 1 5 24 5 1 31 6 32 6 31 1 5 24 4 18 4 24 5 1 31 6 32 6 31 1 5 24 5 1 31 6 31 1 6 1 25 4 18 4 24 5 1 32 1 5 24 4 20 5 1 28 1 6 1 29 6 32 4 10 2 12 2 8 2 14 4 28 6 34 6 28 4 14 2 8 2 12 2 10 4 32 6 29 1 6 1 28
CS (76, 940) (230, 0) - 1 5 26 4 16 4 26 4 14 2 10 4 30 4 12 4 30 6 32 6 30 4 12 4 30 4 10 2 14 4 26 4 16 4 26 5 1 33 6 30 4 10 2 14 4 26 4 16 4 26 4 16 4 26 5 1 34 1 5 26 4 16 4 26 4 16 4 26 4 14 2 10 4 30 6 33
CS (88, 1036) (230, 0) - 1 5 22 4 22 4 18 4 26 6 34 6 30 6 32 6 30 6 34 6 26 4 18 4 22 4 22 5 1 31 6 30 4 12 2 10 2 10 2 12 2 8 2 12 2 10 2 12 4 28 4 14 4 28 5 1 35 6 28 6 35 1 5 28 4 14 4 28 4 12 2 10 2 12 2 8 2 12 2 10 2 10 2 12 4 30 6 31
CS (68, 884) (234, 0) - 1 5 22 4 20 4 22 5 1 29 6 34 6 29 1 5 22 5 1 29 6 34 6 28 5 1 35 6 27 1 6 1 29 4 12 2 12 4 28 4 12 2 12 4 29 1 6 1 27 6 35 1 5 28 6 34 6 29 1 5 22 5 1 29 6 34 6 29
